metric,value
total_rows,396
unique_listings,121
scrape_runs,5
first_scrape,2026-05-04 17:05:47+00:00
last_scrape,2026-05-05 11:58:44+00:00
mean_price,55631.02
median_price,55000.0
min_price,25000
max_price,109000
mean_area,22.14
median_area,21.5
mean_price_per_m2,2553.31
